3000 20000
1420 2952 -991
-465 2949 598
-1742 1603 -1816
692 -1661 1653
-1565 -1651 -2881
-1439 -2895 2883
-792 -437 920
-1191 -258 -1543
532 -2835 -1969
295 -1789 1062
2593 1094 1769
-485 -1860 290
2039 -2483 71
-1834 -1750 -420
418 -1600 -2596
-1955 2886 -2044
1660 -248 -1284
709 2649 2260
830 -1001 -1763
-763 -1380 2439
-949 2213 2075
-2960 -1424 1792
-1473 -689 -2889
2761 -1950 1694
1980 1727 2327
320 1288 -669
2885 -347 -2178
-1906 -1699 -1551
-1808 -2056 2775
1184 -1527 1107
-1124 379 1319
-1395 435 2191
-1268 -1951 137
1713 -1747 1844
1302 -170 -2643
2918 25 1323
-2995 1426 -272
499 1665 -1879
-479 2227 2596
1118 -2236 972
-988 2591 2905
2239 257 2593
-623 -2916 595
2530 -1054 -2361
1755 -2455 -2440
-2695 -2273 -1345
-1937 229 808
1145 -2882 635
-2643 -2579 -2943
844 -2360 103
191 -2194 973
-313 720 -1308
-574 -2726 -249
-2371 2425 2198
-764 387 -2903
694 -2826 2485
1617 1319 2499
-1897 876 -1309
-249 -2396 2973
2798 -2319 2101
-2279 -1689 691
358 -3 -1938
-1429 -2704 1039
1350 -2427 775
2358 -839 -111
-848 976 2349
-580 266 1976
-1994 -186 1729
-598 1096 -879
-494 -2554 -2014
-1584 -731 2454
-430 -351 -603
2802 949 2160
-2010 -489 585
-2332 793 138
1274 -2950 1595
-2783 868 425
-1237 -1644 574
-368 -782 2890
409 -589 -1797
-243 2789 872
-1985 -613 -940
-1068 1746 536
-1135 2323 -2887
604 1544 -1442
1640 2145 -174
755 -1980 -2355
1652 -2471 -2209
2693 -912 1138
2664 2487 -2138
-345 745 -2161
-576 1058 1678
-2566 -157 1176
574 -348 -1879
-2581 2227 1574
-1426 962 1025
189 478 -2848
-27 -2309 658
-1745 741 -1247
1881 -1235 2410
-2264 -1635 1757
126 -2779 1701
-1446 1793 2907
782 2285 1085
-613 2661 591
-236 2907 -1508
-697 519 1325
-1926 1175 -2623
-2576 809 2754
-1332 -43 -1001
1084 1777 2321
1731 1237 1546
-1276 -2402 -2767
-2933 1443 270
-163 -2987 1898
-1528 1808 -873
-2226 -1692 2610
-1566 2347 383
2194 1986 -851
-2926 -1249 1911
2126 1435 1659
-1118 -2470 706
-1433 -2177 -1690
347 -179 -572
2139 450 2312
1131 1570 1831
1264 861 1020
-1384 -2146 2805
2027 -2782 -222
-2720 274 1821
2038 2793 -2421
320 2639 2204
1487 -496 -286
-2513 2388 -1363
1554 687 -2754
-704 1621 -2790
1433 -1171 -1036
-1989 1159 2011
-1955 1526 1848
2630 1065 947
-274 -1338 -356
394 1983 1277
1257 2399 -922
1765 -771 1616
-642 677 -2593
155 -1722 70
-2830 694 294
1608 167 -1144
1900 1192 2273
-2865 -2751 2479
-712 -1658 429
-2970 -1131 -738
-2155 -205 -2972
1728 480 -265
-1564 1822 2177
-52 1574 -2335
-183 -1345 -426
-679 1471 2617
-2604 1695 -1889
-1430 104 -565
-41 2880 1216
1898 119 1284
-2488 -192 398
1911 2556 2295
919 2778 -1157
-1552 -391 -1656
128 1467 -139
-473 1658 -2638
-726 1734 238
-402 1079 1838
1801 2665 32
-1369 1578 1553
-2240 1927 -403
2467 -395 777
-548 -1571 -2926
719 630 2823
2217 -2075 1552
-1755 -1704 -2989
-471 997 2803
-2150 2845 -2028
-2371 -822 926
-424 -2573 1443
483 -611 63
-754 -1793 2504
-2614 -613 -1043
-31 1366 2650
-733 -956 681
1177 2282 2961
-703 1633 1653
2759 -2216 1899
-298 -1303 813
819 -2924 2946
-589 203 517
103 -2559 -1252
2295 -316 2234
2386 -1277 2696
2370 1635 -1898
1076 1517 -2379
-121 2272 -2238
-645 1086 -458
2548 2495 -509
2166 -2043 2792
2317 -1943 685
2809 1679 -1719
-1102 2050 -2826
-2341 753 -1720
-1945 1150 -230
-2591 -2722 -2743
-395 -715 1147
2997 198 -12
2877 -1754 2965
-175 -1553 -2356
-1827 -130 -2252
649 -2380 1710
-990 -1864 877
-2242 -2266 2237
-2803 2493 1552
1703 2741 -957
1528 -996 1254
743 -320 -1426
1064 449 317
1355 159 -1587
-850 -2028 -2697
530 1533 -1150
2703 2335 555
1026 568 -427
2690 298 1904
1460 -236 -2087
-1886 694 232
1518 -2378 -1275
-2996 64 917
740 1780 571
-854 -2898 1087
-438 1291 -717
1221 -1839 -2386
341 2931 1432
2500 -2005 -1157
1376 -1856 928
-687 2350 -726
-1814 2200 -769
-578 1812 2318
-2107 -20 -1633
2018 1284 1980
-1464 2082 -2096
2557 1257 2972
2746 610 1695
-1577 678 -927
1681 199 -1228
338 2732 -1368
-1446 -2204 -2047
2614 2134 -1998
-23 -966 1918
1428 -624 1786
-2572 -2249 -91
2574 1951 -795
-209 1541 -280
-1490 -2921 2851
-2988 -527 1922
647 473 2628
531 -1064 -2897
2609 2496 2137
1643 -2064 1534
1093 2117 -1949
-2094 -1508 1101
1693 2277 1020
463 1914 -1643
1394 -809 2912
790 -2115 -2321
-379 431 1812
1014 2903 -2201
1992 -1930 -2001
-2333 2507 -941
837 369 1278
486 1565 -1263
2181 -2378 1536
-1306 -2190 234
25 368 27
-1791 -1036 -1512
1885 -1320 343
-2820 -2733 2658
997 -1182 798
-1047 2148 -1847
2655 2873 -202
-965 -2668 -540
2714 997 1433
2759 -2026 -375
1907 -1907 -2012
-1869 -2586 -737
-2843 1988 -2428
2496 1122 -1336
1128 2920 157
-2358 -419 -2670
724 2669 -1573
227 -19 2071
2659 -957 -163
-2442 41 1271
-2907 352 275
-2628 1857 -2508
691 -1633 -676
2999 -648 1805
1120 2873 2852
-500 -2617 1017
1440 182 -2259
947 2844 1308
1269 -544 1741
2950 -2433 1491
-2084 1276 -2533
-1907 -1259 -1885
-2633 2490 2144
-1176 1791 1076
-2370 1220 -1111
-1442 2464 -1783
-1444 -561 1957
-2232 111 2483
1478 1247 -568
-2966 -237 -1796
-1139 304 2082
-2502 -2255 -2327
2249 -2962 -1086
317 -1717 -277
-268 1560 -1575
1137 219 1948
2710 -959 1100
-606 -2494 1157
-2249 -112 -209
-2049 173 -2305
-2988 -419 323
2816 -1298 -2515
-816 -2853 1938
-2289 -185 1694
1307 266 2860
81 2603 -1357
1360 -1877 -622
-2290 1027 -2760
-483 1888 -287
-713 -2340 1577
1260 2697 -1994
2623 -2953 -2570
671 2908 -1472
1785 1762 2516
-902 117 -1811
1279 2469 -1967
-2309 -983 -498
-2485 -601 2658
1370 -569 -2137
-1077 2873 -245
2538 2243 -2105
752 2915 422
-1332 248 2428
302 -2021 895
-295 -85 1337
-723 -1282 -2401
-2397 -637 2918
-2459 194 711
-2086 2159 -1931
-741 733 895
1979 -691 1907
1973 -2912 -804
1699 818 1007
-133 2047 -1907
-1586 -945 1681
-202 610 -1200
-1117 -2602 239
-2940 -2571 -2493
2941 2929 -1713
224 895 -468
-2470 2720 -2992
1181 353 -2781
-2431 -353 -406
2606 -2561 821
1196 -1018 2898
-2348 466 1295
377 2478 479
2413 -2842 -1563
-2732 -2312 1707
-649 -1105 992
-1977 1225 333
764 -172 235
2887 -2863 -120
1381 2220 -1773
2112 1128 281
-2290 1783 -811
-1822 2465 -1268
-626 -2027 954
-36 183 2972
-354 -1932 226
-1808 990 484
-2994 2572 2683
-32 -2470 2382
98 831 -2160
2709 2518 2874
-2745 -1196 2023
76 2874 -1228
-1138 -1194 -860
2379 -66 -413
-2287 1732 -2501
925 -2987 1437
2597 2985 -357
1296 1387 124
896 2077 774
618 -2834 2472
2595 1421 2173
-925 -2453 490
-1909 -729 2849
-518 253 -542
510 -71 1562
2969 -2713 1630
-218 -863 -38
-2480 841 -563
-2023 2579 1757
669 -952 982
-903 -36 -445
-2564 -1266 299
2044 -1645 -2999
483 -698 1387
-963 1587 706
-2809 2507 -1084
1813 -2233 80
262 1302 -1392
2055 -2605 -699
-104 -81 629
1947 -214 2289
-924 30 -424
-374 413 -2016
-2927 -482 1814
-243 -191 -2450
1864 698 570
1396 270 1717
187 -1666 -1157
822 -488 -1317
1124 385 -528
-2953 -1033 -1937
-2261 2310 2364
-2882 -367 1891
2352 1154 -2688
874 -859 2810
722 120 -2010
2659 496 1491
-866 -667 -560
1694 -981 2508
-2529 -499 -1802
-479 2880 660
2801 2353 244
866 2331 1682
-563 -1653 -361
-2878 1438 -34
2829 2330 -2749
-2274 1177 -2240
1637 -2121 978
-2481 1780 2728
-350 -89 2306
-1373 2863 2157
1140 1168 193
-2371 1534 1
2687 -2541 -158
2034 -1341 -1467
1796 1248 -545
844 2307 -812
-1330 979 1815
2070 587 -1401
-2432 2198 -2269
-2402 2064 -1349
144 -656 483
2749 1846 -1690
1937 -2940 -378
-2052 2824 -2770
1585 1659 -100
-2637 1500 397
1178 1507 -2457
2422 -11 1589
-2826 1146 -2175
-2648 617 -1506
1691 -1545 2232
1200 1770 2510
-1769 -779 -825
-1751 2320 -326
-352 -892 -1637
852 2258 -2794
3 -510 -2389
1908 -245 1129
133 1830 -2704
-527 2502 -2598
1658 -2751 417
-1792 798 -1042
-2403 1485 995
1864 -1290 2428
-1062 2683 -1490
1556 1928 -5
-1418 2906 -2343
-2703 1208 709
2486 -1927 1868
-1564 1447 -279
-378 -2566 -1147
-1242 -517 835
-300 2028 -1433
2770 2797 2211
-1001 1148 1808
1972 -43 1771
929 1204 -1259
754 2383 1959
347 2341 -931
1149 -642 862
-931 -762 -2630
1631 -1516 -2754
598 -1308 -2448
2718 -1924 1852
-2467 1937 -1371
-1131 1836 2034
-442 2065 -1746
-309 -708 1791
1414 -2663 -1596
-2955 -1580 249
-2363 -2545 -2501
1020 -1071 -1046
2103 2604 -2026
-1024 -1028 -2842
-551 296 2990
597 -2078 2586
-2005 142 1722
-1889 261 -604
1764 -2256 -255
-622 1988 2156
-2222 2822 -1785
1254 1500 -2661
-2451 -1058 2356
-1049 -2306 1126
-592 2408 -1292
-2890 -1 684
-1578 -1925 766
1281 -395 -189
2864 1215 -2425
-1343 -2608 434
-1026 -516 2410
-453 2208 1169
2760 1484 -412
1409 2351 1455
-100 -2036 -611
1333 -2602 2153
-791 2576 -2051
-2916 1893 1141
653 -22 2634
-2334 1976 -413
1501 -550 -1701
-162 2920 247
924 1025 817
-1238 -1019 613
-2369 -2819 2702
310 -434 2670
-2865 117 7
2231 -706 2367
-2546 1668 1146
467 822 1917
794 984 -2036
-443 1042 1895
2794 -1544 1000
-1135 648 -832
959 1720 -158
-1066 2072 1560
26 1475 -2117
461 628 -2952
1184 1308 2866
-236 -2406 -1053
-693 2388 -311
-2731 -503 2167
1676 -1500 -1260
-764 -914 -836
7 2217 410
-752 1947 -940
1762 -991 -1534
-2889 -2579 2098
1315 -2575 -2422
1639 -1538 -1240
67 623 78
-803 1383 1216
-1372 1512 1650
-279 -1943 -203
-28 1066 352
284 -2580 2791
357 -1423 75
1006 1457 -2576
-1865 -746 -287
1554 -873 -2688
-224 2118 947
633 1381 2019
-1299 1883 -109
-2058 -22 -316
983 2684 2636
123 -1293 -2380
890 -890 114
2737 -1735 -618
1020 877 1192
-1272 -491 2353
2703 422 -1006
1283 2187 1776
-1022 -2605 84
224 2956 61
2081 1923 -1136
2589 -326 -2601
2047 731 1828
-1567 -104 -1739
1922 -2343 -1119
1121 806 -2637
-1883 2211 -1854
-1996 -2385 969
2078 2171 -1280
2664 1621 -1979
940 -1325 -883
-218 -2012 1105
-1776 -614 -1394
-2707 2433 2361
-1150 819 -1140
-2191 -2100 -1389
1241 -278 1005
-2886 -50 2791
-1569 -674 -2363
-2106 912 -2769
-2635 2785 2383
1649 -1579 2679
970 1034 -2159
-2361 1085 -2288
-115 2229 1836
103 1821 326
-1398 -2434 -1698
-2096 2175 650
-1078 -1723 1975
500 -1566 -1807
840 365 982
370 -2531 -956
1717 1331 -2269
1180 -767 1398
-1074 2022 2046
-584 2116 1273
-2776 -2201 845
-772 64 1969
-2086 -2968 2488
-620 -1022 -1237
2334 -478 -2812
-580 -477 386
1787 1198 -2598
-682 -1615 -1381
-111 -864 1845
-512 -2149 2532
-77 -2778 719
1404 2770 -1373
-1465 -2608 1836
-1082 443 -1160
1374 2274 882
1821 -1810 -455
-1509 -2657 -2756
2218 -2847 -441
-782 1285 2077
2274 190 -1297
-2115 1954 -1140
-524 2603 -981
-20 -2629 608
1542 -2746 -275
-923 -313 -1719
-351 -2318 1149
2390 -2889 -2124
-2015 -1357 1390
1160 1654 900
2175 -2404 -1292
-2471 2607 1949
919 -1750 2526
-2577 2034 483
1448 2720 -590
-2666 1399 -1170
-2762 440 -1171
1170 2378 2263
-1819 -2022 -1752
-789 -435 -932
1109 -241 -5
1737 1456 -1499
-1927 654 1566
1353 2859 853
-1324 323 489
-1750 -839 -1093
-2865 -827 -45
2814 2829 -14
-443 -129 -2373
2529 -2512 1407
-924 -2352 -1618
-2027 -678 112
-2530 111 2781
-1718 -1076 1887
401 1348 -179
-2228 -1101 -1561
2594 2908 1073
1675 2226 -799
-2507 -2963 1266
26 2945 1175
-576 416 827
-871 1879 -2864
125 -855 -1392
701 532 -1755
-141 -1449 -1741
2219 -582 2029
603 -2965 192
140 189 -164
2933 -11 1248
-2467 711 32
-2486 1735 2623
1564 -701 2781
-2965 -2550 -1727
-514 -1347 246
-456 2453 -2223
1826 2566 1883
-31 269 -278
1909 -1104 2897
-387 2404 1560
432 -2032 -1964
2948 1168 -2633
2561 2796 -1376
-254 2110 -858
-600 -2299 2857
1705 -1844 1360
1014 2042 -1671
-1016 1476 1919
2799 1807 -2023
911 -685 -84
-199 2408 2519
2418 25 694
429 -2805 869
527 -1309 895
-2342 -1343 317
1096 -293 -2554
-393 568 -1211
-678 1729 -677
2224 -2067 -134
-1479 2765 1886
-2019 -124 2463
2480 894 -2697
760 2000 -1269
314 -2492 1772
1883 -2551 493
-257 478 -1090
-1832 -410 -2648
-1940 1810 1307
-231 2579 -1704
2960 -787 -673
809 1339 -2718
-2919 -2221 1510
-738 2767 1482
2433 1065 234
-1221 1795 -2787
2716 -2361 2417
-959 751 -1507
-2448 2424 -2584
-1944 -267 -2895
1208 1251 2018
2419 -2527 2506
1826 1610 -1489
1454 -257 1386
-606 -872 1150
2011 -2909 1812
2171 -1085 2659
2698 -2777 2296
-73 1919 -1077
-123 1967 -2894
321 1351 2739
1299 65 1283
82 -634 173
-2878 -475 -776
-354 1526 1640
-2056 260 715
-2285 -2685 143
-1633 -1075 -1879
-843 -2130 -2614
645 2146 -2638
897 -1950 2503
-1961 2480 1005
2713 -1313 2386
-1840 -1581 580
475 -1715 -2061
-885 1851 -1817
-2380 464 827
-256 -26 -852
571 -2908 2150
-2926 12 -1599
-1307 -2037 2805
-162 -1283 -2665
-2725 -2657 -674
-137 -1409 9
-243 2070 223
1580 -596 1704
629 2419 2500
-313 -524 984
2875 551 -411
2779 2477 -2132
-86 -2616 1319
-75 1143 -2264
-116 1045 -1355
816 156 2311
-2098 -490 -1918
2854 -2564 -52
-1802 -408 -1651
-1124 1461 2545
-183 -2055 1563
2872 -2083 -1493
1580 1179 -1663
-2314 2185 332
-1736 678 1316
802 1026 -2923
2046 7 -192
2318 1877 -609
2116 1058 909
-1902 1637 1859
-257 -1831 -341
770 1864 2256
-2611 2728 -2373
82 271 1349
-752 1512 -2686
-2458 -2504 2729
1794 -347 -1365
467 2863 723
776 1776 2394
-2543 1772 -441
1204 -2485 507
-1874 -2878 -2016
-390 -2126 1560
-2492 -1623 803
598 1869 679
-1250 1590 -726
-587 2048 597
2004 -969 -436
-1885 -1473 -531
-2242 -2784 2654
-1637 -1229 448
-2416 1912 1148
-2326 -895 2871
-1801 766 340
-2822 2007 2680
-1383 -1699 -2095
773 -20 -902
2561 -260 2621
1951 -1029 2367
992 -2982 150
-1603 88 1265
2347 -2954 2969
1722 -2887 783
-1773 -2855 963
-204 -2371 2803
-748 -2205 2564
2519 -15 -2948
-77 1034 498
2752 2307 -595
-2919 1998 -2601
-2751 73 -221
2314 -1698 2998
1741 953 -1112
2721 1159 2191
412 -282 -2149
-2037 2121 161
-2471 1754 669
-1976 -2228 1511
1254 -696 1590
-435 -2094 824
591 -2948 75
405 -1881 1915
2329 -1038 -2180
-2754 429 -2455
-610 1787 439
-2126 -1023 1382
-2890 -43 2450
2320 734 -1590
-1316 -1749 2657
1831 1151 -272
-2812 2491 1779
2240 2679 -424
-2209 1908 2637
-1210 -2982 -1190
195 -2772 -2787
79 -111 -2198
-199 -1548 6
1554 -2004 -47
1330 -2570 2806
-1225 -1985 621
-2235 2980 -983
2320 1389 -2614
-558 559 -1505
2229 2541 2595
1671 -568 -1446
-2819 -1220 -1275
-1788 -1398 -2611
-1270 2558 -40
-2589 671 -1013
-186 -1708 -1906
-1284 -2985 -1618
2685 -2437 2741
1574 1295 2442
-823 1979 -2367
2145 2109 340
-2776 2354 2947
-1698 -2186 1373
806 -1713 -686
767 -1457 192
-1 -582 -421
-2047 219 -1361
1785 1389 818
-371 2655 -653
1808 -2985 1165
-1535 1741 276
-2734 -90 1224
-1854 -643 1069
-901 -1082 -541
1223 604 -2513
-805 -1635 1500
1032 -1019 2740
-1818 -1613 -154
-72 10 -751
-502 -1891 2339
1172 1912 -981
1076 -2922 272
-445 886 -2997
810 -1002 1346
2768 189 1731
355 2507 -399
-461 -152 -1237
2682 2880 2397
-651 -936 2601
1352 202 112
-22 1994 148
1367 -527 -1120
560 353 -2398
-2971 -1755 170
-2891 -555 380
2718 -2259 772
209 -1319 -994
2642 -2943 181
-2123 2275 -1905
-562 -1965 -1131
1164 -407 1040
1054 -94 2056
1952 -293 2773
2689 1720 1045
-2333 1595 2111
-2450 -492 -2044
-447 -2838 -2809
2173 -395 -2829
-1713 -2815 -155
2606 2291 -1807
-1175 -1138 -37
-2855 -2000 -1577
1469 1149 1653
197 -44 -651
-197 -610 -2838
2569 -210 -2632
-131 1205 -2715
1062 791 -117
1023 -2025 652
-1802 -2010 -633
-779 -81 2817
2079 1763 2922
-930 857 -2978
2527 1182 2493
2262 565 764
1309 1683 -1342
1467 1025 -518
2927 -1633 -651
-305 249 2660
-1950 -2621 -2333
2234 -2360 -1969
-2398 -669 -1748
1497 -1722 -1751
2815 1642 -867
1983 -2602 1871
-2668 -180 2314
2264 -1892 2566
1316 823 -1098
-847 -2906 -772
-1957 -2238 -1519
492 445 269
-2212 949 1482
2476 -2230 641
2900 2685 -2305
74 2353 1676
-1007 -814 310
664 678 1089
-2810 1165 579
-2131 649 1072
890 2668 -1748
-1556 2105 607
-2021 1069 2619
26 2705 -155
-2140 -2267 918
-366 -1900 -292
1245 1162 -1836
-213 1862 -1345
-2291 -1508 2672
-1825 -2255 -2897
2999 2685 -1519
-1889 -2422 -1987
106 -683 -678
2382 -435 2564
1848 1848 727
2825 -246 2113
-1440 -1531 -99
1474 -225 -427
2797 -2908 -1824
1942 2919 429
-2896 -353 1966
2066 -666 -2329
-1227 -97 1390
-1457 506 2387
-2417 1797 237
631 987 60
1789 -1392 -898
-206 -30 -1105
866 205 -2234
-1551 -2298 -2234
33 -2289 -2778
-599 -876 -1805
2644 -2443 -583
2626 1547 182
145 -990 2392
2847 1609 461
-2926 -2149 645
-199 -1242 -1143
-2320 1215 1317
-2525 1628 -1976
-299 2672 2884
641 891 136
-2642 -1833 764
392 -1708 1851
2146 -2132 1546
-776 319 -1199
-1760 2615 -386
-1602 1495 -1843
-2416 -318 1859
-565 1366 2667
-663 -2418 -1693
-1501 -694 2068
2841 302 -1957
1209 -651 -760
-1500 2375 -1488
-1369 373 280
-1468 105 -1429
2894 1045 465
-2585 2925 2324
-2110 1100 1439
152 1327 1646
1597 -1393 2704
1543 2744 -2544
288 1248 -2346
1889 938 2748
-2505 -1121 -1002
2743 1658 2463
-2312 415 -2638
-213 -2469 1098
1325 1291 1537
-1243 1610 -151
-2407 2697 2571
1884 -2510 -2554
2664 -1426 -2492
-783 -2652 1953
-162 -1802 -2042
-171 1124 -1935
1725 -1096 -2798
-1460 -1210 -520
2565 -1844 -1128
-2910 145 1077
1900 2512 2547
384 291 1077
1117 950 2371
-2327 1630 -2537
-328 -2478 -2639
-1860 -1367 -1296
2304 2142 -432
-2933 -1981 -2679
-1605 852 2124
1302 1437 -975
-1721 375 2450
-170 -521 1963
784 -401 951
1025 1515 2262
-1060 -1459 -680
1905 1527 2779
-1607 2907 2875
1219 -2670 382
1733 2005 187
2610 2039 2186
409 2876 -2990
-909 2038 1179
1378 -661 2300
-2462 2515 -2363
-2343 1722 1213
-308 -2404 -2070
130 -757 2528
-1319 2011 2224
1857 -2476 -287
2104 642 -2431
-2528 -1487 497
201 -1423 2544
-2834 361 -1286
1861 995 -1072
1413 906 1502
817 -2861 -1922
-1880 -1166 -632
-1993 1906 -965
1818 97 1401
-434 2465 325
-1107 2525 -908
-2491 -1681 -306
-1816 812 1840
-2533 2752 589
528 -322 -2678
2005 -918 -177
-2386 677 -599
-1475 1410 -1251
-46 -2621 750
-2030 -1065 -1590
-2307 -2641 -884
1997 -2239 -1908
-1123 -1895 568
-2958 2716 1435
-883 2177 633
-1357 1234 10
319 -2016 -2655
-1187 2349 -2551
97 -111 761
2210 -2237 -2451
-2072 -2690 84
-2996 -1132 -921
-1886 1001 1940
-2395 1779 -2554
-815 2571 -1185
-452 -1544 -2291
2213 2219 -341
1838 422 887
1755 445 -2877
-820 2123 -509
-2264 -2424 906
2922 303 2385
-1416 509 216
-1982 -1306 1853
1142 -196 2201
1671 1194 -718
1346 -92 -2263
2819 806 496
-1753 -2039 75
-218 -606 1617
1047 -785 -139
2588 88 -1685
829 -1263 149
-2490 -1573 652
-1409 -425 2407
602 1879 -2737
-1987 22 -1638
-831 2169 -2302
1017 1701 675
-1551 970 2536
-2878 -730 232
-2901 316 -557
-918 2371 -126
1756 2222 1346
2871 -1545 -1034
-1553 2103 1501
1529 -1421 1897
-2032 -503 1480
403 -1149 -1005
2966 -836 -1638
-2418 2658 -609
2442 776 -1785
-2254 2991 499
-1197 -520 1946
2455 -896 -351
187 -961 245
-1969 -1839 -477
-165 -2054 684
-2798 1848 2661
-2199 801 840
898 2708 -306
757 2920 -236
-669 1396 -2236
-2200 102 -993
1128 -2631 -1587
-2209 -2984 2162
-1050 -2276 2968
-2374 2106 378
-1569 -1576 -319
-1376 669 -357
-1844 -1175 2855
-2253 -1361 2728
2649 2558 2130
729 -1285 -2582
-1389 1217 -2664
1175 -1816 1271
2302 732 -2625
-2067 -1595 -551
2185 -1974 445
1588 -2640 350
1200 2141 -2908
1424 1552 -201
-351 2927 1235
2163 -2123 1378
